,Company,Security,GICS Sector,GICS Sub-Industry,Founded,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Day,Date
5856,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,61.9,61.98,59.26,61.05,25051600,0,0,2020,1,1,2020/01/01
5857,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,61.41,64.75,53.53,56.14,28546900,0,0,2020,2,1,2020/02/01
5858,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,56.28,59.31,29.17,37.71,67260400,0,0,2020,3,1,2020/03/01
5859,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,35.54,46.04,34.21,42.93,52128200,0,0,2020,4,1,2020/04/01
5860,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,41.66,45.98,33.03,43.98,51744500,0,0,2020,5,1,2020/05/01
5861,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,43.81,56.05,41.61,45.22,51519500,0,0,2020,6,1,2020/06/01
5862,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,45.51,47.1,41.62,43.81,35837500,0,0,2020,7,1,2020/07/01
5863,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,43.62,48.58,41.03,47.03,34083300,0,0,2020,8,1,2020/08/01
5864,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,46.8,51.03,44.59,46.97,30473500,0,0,2020,9,1,2020/09/01
5865,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,47.41,51.58,43.17,50.4,34987500,0,0,2020,10,1,2020/10/01
5866,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,50.96,62.41,50.58,61.14,36165500,0,0,2020,11,1,2020/11/01
5867,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,61.99,67.7,60.98,62.72,44522800,0,0,2020,12,1,2020/12/01
5868,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,62.74,66.31,58.74,60.98,34055500,0,0,2021,1,1,2021/01/01
5869,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,61.74,82.05,60.71,75.77,38282300,0,0,2021,2,1,2021/02/01
5870,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,76.72,81.32,72.88,79.11,39884400,0,0,2021,3,1,2021/03/01
5871,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,79.81,85.7,77.72,85.2,32654500,0,0,2021,4,1,2021/04/01
5872,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,85.93,89.5,83.47,87.78,32536400,0,0,2021,5,1,2021/05/01
5873,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,88.55,90.21,85.32,85.73,31551700,0,0,2021,6,1,2021/06/01
5874,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,86.36,97.43,79.84,96.46,30243500,0,0,2021,7,1,2021/07/01
5875,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,97.38,98.93,90.04,96.3,26386500,0,0,2021,8,1,2021/08/01
5876,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,96.7,99.73,93.02,97.36,26617800,0,0,2021,9,1,2021/09/01
5877,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,97.9,106.06,95.75,104.08,24748100,0,0,2021,10,1,2021/10/01
5878,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,104.96,107.88,94.63,95.57,29899600,0,0,2021,11,1,2021/11/01
